competitionid,sessionid,gameid,endid,hammer_closest_dist,hammer_stones_in_house,hammer_house_control_diff,end_num,end_parity,powerplay,hammer_is_team1,hammer_is_team2,missing_shot3_snapshot,any_missing_coordinates,nonhammer_closest_dist,nonhammer_stones_in_house,hammer_team_scored,hammer_team_points,hammer_points_bucket,end_blank,steal,net_points_for_hammer
0,1,1,1,150.0,1,0,1,1,,0,1,0,0,71.21797525905943,1,1,1,1,0,0,1
0,1,1,2,167.0269439342048,2,0,2,0,,1,0,0,0,83.00602387778854,2,1,2,2,0,0,2
0,1,1,3,150.0,1,0,3,1,,0,1,0,0,111.50336317797773,1,1,3,3,0,0,3
0,1,1,4,150.0,1,1,4,0,,1,0,0,0,280.5779749018087,0,1,1,1,0,0,1
0,1,1,5,150.0,1,1,5,1,,0,1,0,0,323.3032632065442,0,0,0,0,0,1,-2
0,1,1,6,131.00381673829202,1,1,6,0,,1,0,0,0,402.3046109604015,0,0,0,0,0,1,-1
0,1,1,7,98.18350166906862,1,1,7,1,1.0,0,1,0,0,413.3206987316266,0,1,3,3,0,0,3
0,1,1,8,17.804493814764857,2,0,8,0,,1,0,0,0,76.24303246854758,2,0,0,0,0,1,-1
0,1,2,1,150.0,2,1,1,1,,1,0,0,0,181.13530854032848,1,1,1,1,0,0,1
0,1,2,2,150.0,1,0,2,0,,0,1,0,0,189.85520798756087,1,1,1,1,0,0,1
0,1,2,3,150.0,1,-1,3,1,,1,0,0,0,41.036569057366385,2,1,1,1,0,0,1
0,1,2,4,45.34313619501854,2,1,4,0,,0,1,0,0,98.48857801796105,1,1,1,1,0,0,1
0,1,2,5,188.939143641544,1,0,5,1,,1,0,0,0,88.68483523128404,1,0,0,0,0,1,-1
0,1,2,6,298.82603634890984,0,0,6,0,,0,1,0,0,277.89386463180506,0,0,0,0,0,1,-3
0,1,2,7,92.00543462209176,1,1,7,1,2.0,1,0,0,0,403.11288741492746,0,0,0,0,0,1,-2
0,1,2,8,512.8167313963147,0,-1,8,0,,0,1,0,0,196.69773765857096,1,1,1,1,0,0,1
0,1,3,1,150.0,1,-1,1,1,,0,1,0,0,67.35725647619564,2,0,0,0,0,1,-1
0,1,3,2,67.35725647619564,2,0,2,0,,1,0,0,0,69.6419413859206,2,1,1,1,0,0,1
0,1,3,3,150.0,2,1,3,1,,0,1,0,0,68.15423684555495,1,1,2,2,0,0,2
0,1,3,4,46.61544808322666,2,2,4,0,,1,0,0,0,285.2367437761131,0,1,1,1,0,0,1
0,1,3,5,150.0,2,0,5,1,,0,1,0,0,61.29437168288782,2,1,1,1,0,0,1
0,1,3,6,403.11288741492746,0,0,6,0,1.0,1,0,0,0,377.0331550407736,0,1,2,2,0,0,2
0,1,3,7,451.81522772035913,0,0,7,1,,0,1,0,0,325.0123074592715,0,0,0,0,0,1,-1
0,1,3,8,244.16592718886884,1,0,8,0,,1,0,0,0,166.37307474468338,1,0,0,0,0,1,-3
0,1,3,9,213.3846292496252,1,0,9,1,,0,1,0,0,155.11608556174951,1,1,1,1,0,0,1
0,1,4,1,150.0,2,1,1,1,,1,0,0,0,217.2233873228203,1,1,1,1,0,0,1
0,1,4,2,150.0,2,1,2,0,,0,1,0,0,40.85339643163099,1,0,0,0,0,1,-1
0,1,4,3,64.28063471995279,1,0,3,1,,1,0,0,0,168.04761230080004,1,1,1,1,0,0,1
0,1,4,4,60.440052945046304,2,1,4,0,,0,1,0,0,73.92563831310488,1,1,2,2,0,0,2
0,1,4,5,150.0,1,0,5,1,,1,0,0,0,156.84705926475002,1,1,1,1,0,0,1
0,1,4,6,322.92568804602706,0,0,6,0,1.0,0,1,0,0,259.0694887477103,0,1,3,3,0,0,3
0,1,4,7,260.62233212063774,0,0,7,1,,1,0,0,0,369.0338737839658,0,1,2,2,0,0,2
0,1,4,8,47.51841748206689,2,0,8,0,,0,1,0,0,55.31726674375732,2,1,1,1,0,0,1
0,1,4,9,150.0,1,0,9,1,,1,0,0,0,105.55093557141026,1,1,1,1,0,0,1
0,2,1,1,150.0,2,1,1,1,,0,1,0,0,165.59287424282482,1,1,1,1,0,0,1
0,2,1,2,150.0,1,0,2,0,,1,0,0,0,64.38167441127949,1,1,1,1,0,0,1
0,2,1,3,151.18200951171406,1,-1,3,1,,0,1,0,0,76.15773105863909,2,1,2,2,0,0,2
0,2,1,4,77.25283166331187,1,-1,4,0,,1,0,0,0,87.36704184073076,2,0,0,0,1,0,0
0,2,1,5,150.0,1,0,5,1,,0,1,0,0,79.20227269466452,1,1,1,1,0,0,1
0,2,1,6,273.00183149568795,0,0,6,0,,1,0,0,0,372.08601156184307,0,1,3,3,0,0,3
0,2,1,7,409.332383277942,0,-1,7,1,1.0,0,1,0,0,196.32880583347927,1,1,2,2,0,0,2
0,2,1,8,38.8329756778952,1,-1,8,0,,1,0,0,0,97.082439194738,2,1,1,1,0,0,1
0,2,2,1,152.00328943809077,1,0,1,1,,1,0,0,0,51.0098029794274,1,1,1,1,0,0,1
0,2,2,2,150.0,2,0,2,0,,0,1,0,0,37.16180835212409,2,1,1,1,0,0,1
0,2,2,3,17.11724276862369,2,0,3,1,,1,0,0,0,111.13955191559843,2,0,0,0,0,1,-1
0,2,2,4,92.0869154657707,2,1,4,0,,0,1,0,0,61.220911460055866,1,0,0,0,0,1,-1
0,2,2,5,43.01162633521314,2,0,5,1,,1,0,0,0,108.00462953040486,2,1,1,1,0,0,1
0,2,2,6,381.9646580509773,0,0,6,0,,0,1,0,0,344.41980198589044,0,1,2,2,0,0,2
0,2,2,7,382.5624132086162,0,-1,7,1,2.0,1,0,0,0,136.7808466123821,1,1,2,2,0,0,2
0,2,2,8,72.03471385380801,2,0,8,0,,0,1,0,0,96.20810776644555,2,0,0,0,0,1,-2
0,2,3,1,33.94112549695428,2,1,1,1,,1,0,0,0,61.29437168288782,1,1,1,1,0,0,1
0,2,3,2,43.04648650006177,2,1,2,0,,0,1,0,0,127.4872542648872,1,1,4,3,0,0,4
0,2,3,3,105.38500842150178,2,2,3,1,,1,0,0,0,296.5164413653988,0,0,0,0,0,1,-1
0,2,3,4,8.06225774829855,2,0,4,0,,0,1,0,0,94.02127418834527,2,0,0,0,0,1,-1
0,2,3,5,65.5133574166368,2,0,5,1,,1,0,0,0,116.04309544302927,2,1,1,1,0,0,1
0,2,3,6,403.11288741492746,0,0,6,0,,0,1,0,0,895.9402881888949,0,0,0,0,0,1,-1
0,2,3,7,83.00602387778854,2,0,7,1,,1,0,0,0,86.4060183089118,2,0,0,0,0,1,-1
0,2,3,8,71.34423592694787,1,1,8,0,2.0,0,1,0,0,403.11288741492746,0,1,2,2,0,0,2
0,2,4,1,150.0,1,0,1,1,,0,1,0,0,143.37712509323097,1,1,1,1,0,0,1
0,2,4,2,150.0,1,0,2,0,,1,0,0,0,145.38225476308997,1,1,1,1,0,0,1
